id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu,bk_e
1074,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT,EMS
1075,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế,BK
1076,BCCP,CQT003,Bưu kiện máy bay,Quốc tế,BK
1077,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế,BK
1078,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế,BK
1079,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế,BK
1080,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế,BK
1081,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế,BK
1082,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế,Đại lý QT
1083,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế,Đại lý QT
1084,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế,EMS
1085,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế,EMS
1086,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế,EMS
1087,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế,BK
1088,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế,BK
1089,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế,BK
1090,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế,BK
1091,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế,BK
1092,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế,BK
1093,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế,BK
1094,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế,BK
1095,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế,BK
1096,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế,BK
1097,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế,BK
1098,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế,BK
1099,BCCP,UPS002,UPS Tài liệu,Quốc tế,Đại lý QT
1100,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống,BK
1101,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT,BK
1102,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT,BK
1103,HCC,HCC001,Hành chính công EMS,Chuyển phát HCC,EMS
1104,HCC,HCC002,Hành chính công EMS có VAT,Chuyển phát HCC,EMS
1105,HCC,HCC003,Hành chính công BPBĐ,Chuyển phát HCC,BK
1106,HCC,HCC004,Hành chính công BPBĐ có VAT,Chuyển phát HCC,BK
1107,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống,EMS
