id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
338,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế
339,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế
340,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế
341,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế
342,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế
343,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế
344,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế
345,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế
346,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế
347,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế
348,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế
349,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế
350,BCCP,UPS002,UPS Tài liệu,Quốc tế
351,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống
352,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT
353,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT
354,HCC,HCC001,Hành chính công EMS,Hành chính công
355,HCC,HCC002,Hành chính công EMS có VAT,Hành chính công
356,HCC,HCC003,Hành chính công BPBĐ,Hành chính công
357,HCC,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
358,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống
