id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
731,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT
732,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT
733,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT
734,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT
735,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT
736,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT
737,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT
738,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế
739,BCCP,CQT003,Bưu kiện máy bay,Quốc tế
740,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế
741,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế
742,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế
743,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế
744,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế
745,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế
746,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế
747,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế
748,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế
749,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế
750,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế
751,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế
752,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế
753,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế
754,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế
755,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế
756,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế
757,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế
758,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế
759,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế
760,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế
761,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế
762,BCCP,UPS002,UPS Tài liệu,Quốc tế
763,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống
764,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT
765,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT
766,HCC,HCC001,Hành chính công EMS,Hành chính công
767,HCC,HCC002,Hành chính công EMS có VAT,Hành chính công
768,HCC,HCC003,Hành chính công BPBĐ,Hành chính công
769,HCC,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
770,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống
771,BCCP,CTN052,Chuyển phát nhanh hàng nông sản,Truyền thống
