id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
401,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT
402,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT
403,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT
404,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT
405,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT
406,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT
407,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT
408,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế
409,BCCP,CQT003,Bưu kiện máy bay,Quốc tế
410,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế
411,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế
412,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế
413,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế
414,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế
415,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế
416,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế
417,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế
418,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế
419,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế
420,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế
421,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế
422,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế
423,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế
424,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế
425,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế
426,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế
427,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế
428,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế
429,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế
430,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế
431,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế
432,BCCP,UPS002,UPS Tài liệu,Quốc tế
433,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống
434,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT
435,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT
436,HCC,HCC001,Hành chính công EMS,Hành chính công
437,HCC,HCC002,Hành chính công EMS có VAT,Hành chính công
438,HCC,HCC003,Hành chính công BPBĐ,Hành chính công
439,HCC,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
440,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống
